Species,Code,Lure,Country,Site,Lat,Long,Elevation (m) (google earth),Trapping dates,Habitat,Collectors,#
Zeugodacus cucurbitae,FF309,CL,Taiwan,Taitung Co. Lanyu Island,22.0270,121.5537,64,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,9
Zeugodacus cucurbitae,FF318,CL,Taiwan,Taitung Co. Lanyu Island,22.0815,121.5454,22,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,9
Zeugodacus synnephys,FF340,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4985,120.7009,1352,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,9
Bactrocera dorsalis,FF254 (Tw),ME,Taiwan,Nantou Co. Lugu Township Bird Park,23.7284,120.7911,813,28-30-vii-2014,Tea modified forest ,Daniel Rubinoff & Michael San Jose,10
Bactrocera dorsalis,FF348,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4762,120.6299,724,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,10
Zeugodacus tau,FF283,CL,Taiwan,Nantou Co. Jiji Township,23.8357,120.7478,225,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,10
Bactrocera bhutaniae,Taiwan 002,,Taiwan,"Nantou Co., Yuchi, Lianhuachi",23.9190,120.8829,722,21-x-2013,,,11
Bactrocera dorsalis,FF258 (Tw),ME,Taiwan,Nantou Co. Lugu Township Bird Park,23.7244,120.7957,883,28-30-vii-2014,Tea modified forest ,Daniel Rubinoff & Michael San Jose,11
Bactrocera dorsalis,FF262 (Tw),ME,Taiwan,Nantou Co. Lugu Township Bird Park,23.7302,120.7922,781,28-30-vii-2014,Tea modified forest ,Daniel Rubinoff & Michael San Jose,11
Bactrocera dorsalis,FF268 (Tw),ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9272,120.8911,768,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,11
Zeugodacus tau,FF297,CL,Taiwan,Pingtung Co. Kenting National Park,21.9900,120.8488,30,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,11
Bactrocera dorsalis,FF261 (Tw),ME,Taiwan,Nantou Co. Lugu Township Bird Park,23.7294,120.7947,747,28-30-vii-2014,Tea modified forest ,Daniel Rubinoff & Michael San Jose,12
Bactrocera dorsalis,,ME,Taiwan,Taitung: Guanshan,23.0495,121.1646,229,26-viii-2015,,,12
Bactrocera dorsalis,FF273,ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9312,120.8941,773,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,13
